Name,Team,Type,ValueinCR,Full Name,Age,National Side,Batting Style,Bowling,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Captaincy
Srikar Bharat,DC,Wicket-Keeper ,2,Kona Srikar Bharat,"28 Years, 5 Months, 12 Days",India,Right Handed,,8,7,2,191,78* v DC,0,1,10,8,38.2,122.43,4,1,1,0,,,,,,,,,,,,,0
Adam Milne,CSK,Bowler ,1.9,Adam Fraser Milne,"29 Years, 11 Months, 2 Days",New Zealand,Right Handed,Right-arm fast,9,6,2,23,15 v CSK,0,0,0,1,5.75,79.31,7,0,2,0,9,32,0,308,7,2/21 v CSK,0,0,44,9.62,27.42,9,0
Liam Livingstone,PBKS,All-Rounder ,11.5,Liam Stephen Livingstone,"28 Years, 7 Months, 11 Days",England,Right Handed,Leg break,9,9,1,112,44 v SRH,0,0,9,6,14,125.84,7,0,0,0,1,1,0,13,0,0/13 v MI,0,0,,13,,1,0
Harpreet Brar,PBKS,All-Rounder ,3.8,Harpreet Brar,"26 Years, 6 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,10,6,6,84,25* v RCB,0,0,5,3,,120,2,0,0,0,10,32,1,228,5,3/19 v RCB,1,0,45.6,7.12,38.4,10,0
Rinku Singh,KKR,Batsman ,0.55,Rinku Khanchand Singh,"24 Years, 5 Months, 3 Days",India,Left Handed,Off break,10,8,1,77,30 v SRH,0,0,6,2,11,101.31,6,0,0,0,,,,,,,,,,,,,0
Venkatesh Iyer,KKR,All-Rounder ,8,Venkatesh Rajasekaran Iyer,"27 Years, 2 Months, 21 Days",India,Left Handed,Right-arm medium,10,10,1,370,67 v PBKS,0,4,37,14,41.11,128.47,7,0,0,0,4,8.3,0,69,3,2/29 v DC,0,0,23,8.11,17,4,0
Kamlesh Nagarkoti,DC,All-Rounder ,1.1,Kamlesh Lachham Nagarkoti,"22 Years, 2 Months, 19 Days",India,Right Handed,Right-arm fast,11,7,3,22,8* v RR,0,0,1,0,5.5,66.66,4,0,2,0,10,28,0,256,5,2/13 v RR,0,0,51.2,9.14,33.6,10,0
KC Cariappa,RR,Bowler ,0.3,Konganda Charamanna Cariappa,"27 Years, 11 Months, 2 Days",India,Right Handed,Leg break,11,5,2,24,12* v RCB,0,0,0,2,8,114.28,3,0,0,0,11,36,0,348,8,2/16 v RCB,0,0,43.5,9.66,27,11,0
Mahipal Lomror,RCB,All-Rounder ,0.95,Mahipal Krishan Lomror,"22 Years, 4 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,11,10,2,181,47 v RCB,0,0,8,9,22.62,119.86,1,0,0,0,6,10,0,74,1,1/22 v SRH,0,0,74,7.4,60,6,0
Shahrukh Khan,PBKS,All-Rounder ,9,Masood Shahrukh Khan,"26 Years, 9 Months, 20 Days",India,Right Handed,Off break,11,10,3,153,47 v CSK,0,0,9,10,21.85,134.21,4,0,1,1,,,,,,,,,,,,,0
James Neesham,RR,All-Rounder ,1.5,James Douglas Sheahan Neesham,"31 Years, 5 Months, 28 Days",New Zealand,Left Handed,Right-arm medium fast,12,8,1,61,22 v CSK,0,0,3,2,8.71,92.42,1,0,2,0,12,33,0,305,8,3/12 v RR,1,0,38.12,9.24,24.75,12,0
Josh Hazlewood,RCB,Bowler ,7.75,Josh Reginald Hazlewood,"31 Years, 2 Months, 7 Days",Australia,Left Handed,Right-arm fast medium,12,0,0,,,0,0,0,0,,0,1,0,0,0,12,45,0,357,12,3/24 v SRH,1,0,29.75,7.93,22.5,12,0
Jason Roy,GT,Batsman ,2,Jason Jonathan Roy,"31 Years, 7 Months, 25 Days",England,Right Handed,,13,13,2,329,91* v MI,0,2,39,9,29.9,129.02,8,0,0,0,,,,,,,,,,,,,0
Shahbaz Ahmed,RCB,All-Rounder ,2.4,Shahbaz Ahmed,"27 Years, 3 Months, 3 Days",India,Left Handed,Slow left-arm orthodox,13,8,1,60,14 v SRH,0,0,4,2,8.57,111.11,5,0,0,0,8,20,0,136,9,3/7 v SRH,1,0,15.11,6.8,13.33,8,0
Yashasvi Jaiswal,RR,Batsman ,4,Yashasvi Bhupendra Kumar Jaiswal,"20 Years, 2 Months, 18 Days",India,Left Handed,Leg break,13,13,0,289,50 v CSK,0,1,34,12,22.23,136.32,4,0,2,0,,,,,,,,,,,,,0
Chetan Sakariya,DC,Bowler ,4.2,Chetan Sakariya,"24 Years, 0 Months, 15 Days",India,Left Handed,Left-arm medium fast,14,6,1,16,7 v PBKS,0,0,2,0,3.2,64,4,0,2,1,14,52,1,426,14,3/31 v PBKS,2,0,30.42,8.19,22.28,14,0
Kartik Tyagi,SRH,Bowler ,4,Kartik Tyagi,"21 Years, 4 Months, 7 Days",India,Right Handed,Right-arm medium fast,14,5,3,6,2* v DC,0,0,0,0,3,60,3,0,1,0,14,52.1,0,491,13,2/29 v PBKS,0,0,37.76,9.41,24.07,14,0
Lungi Ngidi,DC,Bowler ,0.5,Lungisani True-man Ngidi,"25 Years, 11 Months, 17 Days",South Africa,Right Handed,Right-arm fast medium,14,0,0,,,0,0,0,0,,0,2,0,0,0,14,54,2,448,25,4/10 v PBKS,3,0,17.92,8.29,12.96,14,0
Jagadeesha Suchith,SRH,Bowler ,0.2,Jagadeesha Suchith,"28 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,17,8,6,68,34* v PBKS,0,0,6,3,34,128.3,9,0,2,1,16,52,0,462,12,2/14 v SRH,0,0,38.5,8.88,26,16,0
Mohammad Nabi,KKR,All-Rounder ,1,Mohammad Nabi,"37 Years, 2 Months, 14 Days",Afghanistan,Right Handed,Off break,17,14,2,180,31 v MI,0,0,16,9,15,151.26,11,0,0,1,17,57.1,0,408,13,4/11 v RCB,0,0,31.38,7.13,26.38,17,0
Mayank Markande,MI,Bowler ,0.65,Mayank Markande,"24 Years, 4 Months, 4 Days",India,Right Handed,Leg break,18,8,5,27,7* v PBKS,0,0,3,0,9,93.1,3,0,2,0,18,53,0,453,16,4/23 v SRH,1,0,28.31,8.54,19.87,18,0
Jayant Yadav,GT,All-Rounder ,1.7,Jayant Yadav,"32 Years, 1 Months, 21 Days",India,Right Handed,Off break,19,5,1,40,23 v DC,0,0,2,1,10,111.11,6,0,1,2,19,61,0,419,8,1/8 v CSK,0,0,52.37,6.86,45.75,19,0
Priyam Garg,SRH,Batsman ,0.2,Priyam K Garg,"21 Years, 3 Months, 15 Days",India,Right Handed,Right-arm medium,19,15,1,205,51* v CSK,0,1,11,7,14.64,110.81,6,0,2,1,,,,,,,,,,,,,0
Basil Thampi,MI,Bowler ,0.3,Basil Thampi,"28 Years, 6 Months, 4 Days",India,Right Handed,Right-arm fast medium,20,8,7,32,13* v SRH,0,0,1,1,32,91.42,4,0,2,0,20,70.5,0,694,17,3/29 v MI,1,0,40.82,9.79,25,20,0
Mitchell Marsh,DC,All-Rounder ,6.5,Mitchell Ross Marsh,"30 Years, 4 Months, 27 Days",Australia,Right Handed,Right-arm medium,21,15,2,225,38 v MI,0,0,9,14,17.3,114.21,7,0,1,1,19,53.1,0,420,20,4/25 v DCH,0,0,21,7.89,15.95,19,0
Abhishek Sharma,SRH,All-Rounder ,6.5,Abhishek Sharma,"21 Years, 6 Months, 11 Days",India,Left Handed,Slow left-arm orthodox,22,20,6,241,46* v RCB,0,0,17,12,17.21,139.3,5,0,0,1,14,22,0,176,7,2/4 v MI,0,0,25.14,8,18.85,14,0
Lockie Ferguson,GT,Bowler ,10,Lachlan Hammond Ferguson,"30 Years, 9 Months, 3 Days",New Zealand,Right Handed,Right-arm fast,22,6,6,62,24* v PBKS,0,0,5,2,,151.22,3,0,2,0,22,79.5,1,648,24,3/15 v SRH,2,0,27,8.11,19.95,22,0
Ruturaj Gaikwad,CSK,Batsman ,6,Ruturaj Dashrat Gaikwad,"25 Years, 1 Months, 12 Days",India,Right Handed,Off break,22,22,4,839,101* v RR,1,7,80,29,46.61,132.12,10,0,2,1,,,,,,,,,,,,,0
Sam Billings,KKR,Wicket-Keeper ,2,Samuel William Billings,"30 Years, 9 Months, 1 Days",England,Right Handed,,22,19,0,334,56 v KKR,0,3,31,10,17.57,133.6,13,0,3,1,,,,,,,,,,,,,0
Abdul Samad,SRH,Batsman ,4,Abdul Samad Farooq,"20 Years, 4 Months, 18 Days",India,Right Handed,Leg break,23,18,4,222,33 v DC,0,0,12,14,15.85,146.05,13,0,2,1,4,8,0,105,2,1/9 v PBKS,0,0,52.5,13.12,24,4,0
Arshdeep Singh,PBKS,Bowler ,4,Arshdeep Singh,"23 Years, 1 Months, 8 Days",India,Left Handed,Left-arm medium fast,23,3,2,2,1* v KKR,0,0,0,0,2,33.33,6,0,1,0,23,76.1,1,669,30,5/32 v RR,3,1,22.3,8.78,15.23,23,0
